#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference
1,1,VII,HD 4004,HIP 3415,,00 43 28.40,+64 45 35.40,122.08,1.9,WN4b,SSM96,SB1?,"La83, MS86, MMH98, MG99, Ni00",11.2,11.02,10.51,10.15,10.36,10.74,10.1,,,8.206,7.857,7.48,,Cas OB7:,,
2,2,VII,HD 6327,HIP 5100,,01 05 23.03,+60 25 18.90,124.65,-2.41,WN2b,SSM96,VB,"Hip97, MMH98",11.62,11.46,11.33,11.17,11.04,10.35,10.99,,,10.036,9.783,9.445,,Cas OB1:,,
3,3,VII,HD 9974,HIP 7681,,01 38 55.63,+58 09 22.70,129.18,-4.14,WN3ha,MMC04,SB2,"MLS86,MS86,SH89,SM89,SS96",10.54,10.64,10.7,10.73,9.85,10.62,10.61,,,10.237,10.134,10.009,,,,
4,4,VII,,HIP 12527,HD 16523,02 41 11.68,+56 43 49.70,137.59,-2.98,WC5+?,VI,"SB1, no d.e.l.","MS86,CM89,RC89,SS90,VII",10.73,10.73,10.53,10.53,10.03,10.3,9.8,,,8.749,8.566,7.877,,,,
5,5,VII,,HIP 13380,HD 17638,02 52 11.66,+56 56 07.10,138.87,-2.15,WC6,VI,,,11.68,11.49,11.02,10.76,10.97,10.85,10.37,,,8.626,8.336,7.653,,,,
6,6,VII,EZ CMa,HD 50896,HIP 33165,06 54 13.05,-23 55 42.10,234.76,-10.08,WN4b,SSM96,SB1?,"FK80,DH96,MM98,MMH98,GK99,NG99a",,6.87,6.94,6.98,5.64,6.6,6.87,,,6.353,6.226,5.893,Cr 121?,,0.9,LS84
7,7,VII,HD 56925,HIP 35378,,07 18 29.13,-13 13 01.50,227.75,-0.13,WN4b,SSM96,,MMH98,12.21,12.11,11.75,11.51,11.21,11.68,11.4,,,9.97,9.674,9.271,,,,
8,7a,VII,PMLC 1,GSC 6537-0281,,07 20 22.38,-23 43 57.60,237.27,-4.64,WN4/C,PM98,,,,,,,,,13.9,,,Nan,Nan,Nan,,,,
9,8,VII,HD 62910,HIP 37791,,07 44 58.22,-31 54 29.60,247.07,-3.79,WN7o/CE,SSM96,SB1,"Ni91,MMH98",10.99,10.95,10.48,10.27,10.08,10.69,10.16,,,8.57,8.322,7.928,,Anon.Pup a:,,
10,9,VII,IC 2206,HIP 37876,HD 63099,07 45 50.40,-34 19 48.50,249.27,-4.84,WC5+O7,HH88,SB2,"NM84,SM89,Ni95,LM96",12.05,11.67,10.93,10.6,11.47,11.42,10.49,,,8.452,8.11,7.545,HD 63077 group?,Anon.Pup b?,5.5,LS84
