input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids
"10.868333333333332,64.75983333333333",1.8829610078044028E-5,524101256981955200,Gaia DR2 524101256981955200,10.868292596886297,64.75982606577607,122.08252279184794,1.901212596544374,45.99493498059833,52.93067636509763,0.2853459860842952,-2.847460461564185,-0.6388297686988166,9.793856,10.230665,9.184456,0.02269379824755406,0.025199021837735924,0.032344990304680694,0.04649727831572893,0.04208794846005899,,,,473.12366,0.0,0.0,6.505696,36,5,293,298,298,31,true,1.5772253529062634,0.005798642050073015,0.035336938,275.8731,0.43680954,1.0462093,0.20636334,-0.3990253,0.05333985,false,,,,200111,0,0.6093998,988.17377,1413.6672,1200.9205,41,-0.039514534,8.821953,0.25974888,-0.021386204,1117607.3289523588,1916.0686669225151,583.28143,35,1.2370877,2279312.300991964,1259.9082843818162,1809.1097,294,0,1702102.0286108654,2146.1811647560353,793.08405,34,NOT_AVAILABLE,-0.24877855,100001,-0.09972549,,,37.95825,49.387478,44.736954,1562213769,0.005701552,0.06585228,-0.4026661,2015.5,0,,,,1635721458409799680,4835.0,5515.08,5080.0933,16,Gaia DR1 524101252676120448
"16.345958333333336,60.42191666666667",1.788941003246005E-5,426378793807948032,Gaia DR2 426378793807948032,16.34592317647823,60.42191232174185,124.65357201226057,-2.403210871542929,44.98419621791145,47.95853116222423,,,,10.997475,11.200502,10.6352625,0.25610553375074124,0.12167367266210818,,,,,,,221.97003,0.26651086876699903,7.579054229134369,9.99457,6,12,51,63,63,3,false,1.5177929027465922,0.08589884828021124,0.42125005,12.707582,0.20302773,0.5652399,,,,true,,,,,0,0.36221218,,,,13,-0.26599985,,,,457461.1981336027,1071.2454163160796,427.03677,7,1.202844,752240.0468087363,771.7239100575897,974.7528,78,0,447366.2037302616,830.978585140128,538.3607,8,NOT_AVAILABLE,,130001,-0.22465771,,,,,,1337111238,,,,2015.5,0,,,,1635721458409799680,6534.55,7137.6665,6844.6665,5,Gaia DR1 426378789506057856
"24.731791666666666,58.156305555555555",2.75386936258111E-5,508955656105078912,Gaia DR2 508955656105078912,24.731746661115235,58.15629160744832,129.17967789231076,-4.138224451771666,48.43580161851989,43.75605574288693,0.3131219486943979,-4.060060875561694,-1.421717997874293,10.575814,10.6188965,10.439993,0.02322691460039902,0.028991781568510275,0.04119496604931199,0.06287044312654341,0.07194280244066575,0.3183,0.885,0.64,1131.0448,0.09799423319529653,4.311262352690373,19.475248,43,17,339,356,356,31,false,1.755365764584932,0.006424057765312117,0.046247806,70.846504,0.043082237,0.17890358,-0.1785895,-0.2876477,-0.19725871,false,0.1649,0.445,0.355,,0,0.13582134,,,,46,-0.01597921,7.600976,-0.08149556,0.25481603,781622.1413910567,973.9812037691504,802.50226,42,1.1874361,1109226.949658608,489.13417866267696,2267.7356,374,0,535514.0510637825,679.3150257741438,788.31476,44,NOT_AVAILABLE,-0.009523991,100001,-0.06780655,,,,,,260442415,0.24322283,-0.15760013,-0.094808996,2015.5,0,,,,1635721458409799680,8091.25,9593.667,9124.0,16,Gaia DR1 508955651800615168
"40.29866666666667,56.730472222222225",2.3632219230483925E-5,454818035714964992,Gaia DR2 454818035714964992,40.29864525744197,56.73049272942637,137.5948153470531,-2.983863573387971,57.55390028197198,38.753646025857584,0.22864277325775081,-0.19511023565250263,2.456925495551668,9.6846895,9.8969755,9.382316,0.02708711661074979,0.030617984192208715,0.04116885464943083,0.07504662270577193,0.08205565004814593,0.762,1.2277,1.045,794.8922,0.055744974994610626,1.1692815512014767,16.291945,28,7,241,248,248,31,false,1.683395659167134,0.007308351546504492,0.057204057,127.83779,0.212286,0.5146599,-0.05034031,0.027142908,-0.062694535,false,0.411,0.6163,0.529,200111,0,0.3023739,1379.1052,2353.2722,1866.1887,30,0.034756873,5.55378,0.04828063,0.20557807,1519725.1801366792,3306.3833862944234,459.6337,29,1.1657912,2520404.8020697115,1066.5932937325674,2363.042,259,0,1418540.5471109035,1598.8197502722649,887.2423,27,NOT_AVAILABLE,0.29646888,100001,0.27596363,,,30.476433,32.5256,31.272223,1197877258,0.13625076,-0.04766443,-0.14256446,2015.5,0,,,,1635721458409799680,6652.005,6872.0,6784.0,14,Gaia DR1 454818035714964992
"43.04858333333333,56.93530555555556",5.364632311511655E-6,460606178458202496,Gaia DR2 460606178458202496,43.04858839811819,56.935310153772356,138.86679733277668,-2.1530061417721935,59.43306025616312,38.3714916996976,0.30496230379822487,-0.23592602468867202,-0.8440754202821692,10.061514,10.4617,9.519958,0.023803354818258092,0.024290492973063318,0.033458186282977524,0.0726755687166104,0.06512500205964168,1.5509,2.0888,1.872,577.7819,0.0,0.0,10.721861,31,9,258,267,267,31,true,1.6077167481488621,0.005730251325954359,0.04958152,286.9293,0.40018654,0.9417429,0.004500727,-0.26107705,0.00988571,false,0.7969,1.0773,0.95,200111,0,0.54155636,646.53186,910.5664,778.54913,35,-0.10761713,9.114729,-0.057984117,0.26396567,903389.6390770443,1719.507254697883,525.377,32,1.2086743,1781315.426556672,984.6159966677004,1809.1473,289,0,1249640.5772514502,1150.9279201649886,1085.768,30,NOT_AVAILABLE,-0.0068071517,100001,0.12094847,,,27.889925,32.34175,31.42757,1480097002,0.0018481398,-0.0028120633,-0.18247205,2015.5,0,,,,1635721458409799680,5361.25,5773.3003,5438.6665,13,Gaia DR1 460606174157449344
"103.554375,-22.071638888888888",0.0017411932894655987,2925846208686847360,Gaia DR2 2925846208686847360,103.55250527353388,-22.071810637920215,233.05570245814184,-9.286339443540014,107.78242967815615,-44.67801737271052,-0.458588496657972,-0.5693536391221751,2.466674070751968,19.890244,20.28191,19.228632,0.19569827172182644,0.3757747118247483,0.5137518542560994,0.4454718392540317,0.9919258614072286,,,,596.2867,0.0,0.0,-0.7489737,72,6,628,0,634,31,false,1.5585510283749318,0.06678479775584566,0.8898721,0.101278596,0.3916664,1.053278,0.083171286,0.17043611,-0.13985832,false,,,,,0,0.66161156,,,,75,-0.03368046,-0.89262646,0.12082528,-0.016196081,106.60831166737364,4.190587283952197,25.439945,68,1.2946912,208.56872589121437,0.6414896736219818,325.13187,653,0,163.42378010826573,5.138700062721857,31.802553,64,NOT_AVAILABLE,-0.38533264,,-0.057651866,,,,,,1196091663,0.01405411,0.10443009,-0.6942573,2015.5,0,,,,1635721458409799680,,,,16,Gaia DR1 2925846208686847360
"109.621375,-12.782916666666667",0.0030782620774664196,3033065329887176832,Gaia DR2 3033065329887176832,109.62142743736048,-12.785994503956559,227.36930532829885,0.07327529871282022,113.4556256098294,-34.64124691285246,0.15113815931861113,0.055870636279230154,1.4318010809827337,18.173283,18.738066,17.475122,0.1273706963531593,0.1327633344308619,0.18266486024889395,0.27322579907856254,0.24364065782979122,,,,284.08078,0.21131449755819673,0.37497478462025047,1.7533838,29,0,249,0,249,31,false,1.5714923724418228,0.029984195950207373,0.2671835,0.7827705,0.5647831,1.2629433,0.22563246,0.2062457,0.38217828,false,,,,,0,0.6981602,,,,32,0.0063143973,0.8274069,-0.10738723,0.27062434,441.90515147266825,6.190816668824705,71.38075,28,1.2461842,1013.9884254695679,1.7137095577000228,591.69214,269,0,821.7111838139208,6.443158189502745,127.532364,30,NOT_AVAILABLE,-0.2957563,,-0.1687967,,,,,,705489119,0.06576997,0.300305,0.16202445,2015.5,0,,,,1635721458409799680,,,,13,Gaia DR1 3033065325587469568
"110.09325,-22.267333333333333",1.4384773566519066E-4,5619719034689699712,Gaia DR2 5619719034689699712,110.09340526709916,-22.267326560433954,235.96810499051742,-3.960843898450998,116.18136732711902,-43.897277421186544,0.22179079925031628,0.45358910492993454,-1.0924167852020052,19.013924,19.859758,18.082735,0.13416276125982282,0.18761800283500346,0.2744761632333721,0.2984834042476579,0.39077313499245325,,,,342.2092,0.0,0.0,-0.1573934,40,2,352,0,354,31,false,1.37831302513363,0.04462315039351908,0.35619912,0.28234065,0.84583473,1.7770233,0.38239285,-0.063165694,0.005727574,false,,,,,0,0.9311886,,,,42,-0.0031162703,0.8080512,-0.08659989,0.08252271,157.27214246395545,5.0390730551172815,31.210531,40,1.3407916,467.49497669601647,0.9257261668599027,505.0035,359,0,469.54116839060293,4.426502556113514,106.07498,39,NOT_AVAILABLE,-0.23306154,,-0.13222544,,,,,,1336614737,-0.0792955,0.016158395,-0.35116524,2015.5,0,,,,1635721458409799680,,,,15,Gaia DR1 5619719034689699712
"116.24258333333333,-30.09177777777778",0.0023146446285004295,5598872195455300096,Gaia DR2 5598872195455300096,116.24318978519182,-30.094032164348427,245.49734393605848,-2.8890406209685286,126.73928820324359,-50.23984931219166,0.21572755269733884,-1.465687266754406,1.6485363729977789,18.75474,19.21464,17.758348,0.12622970771493988,0.16144256926984252,0.19168465494888035,0.2927264664688643,0.39599655632644165,,,,320.2758,0.0,0.0,1.73726,32,0,283,0,283,31,false,1.605665597567067,0.04156856912187261,0.35220525,0.37410244,0.4598999,1.4562912,0.104641095,-0.2187167,0.06398931,false,,,,,0,0.9963913,,,,34,-0.07250613,1.1254294,0.09104008,0.10848953,284.9044050000633,9.476276021108898,30.065018,30,1.5465522,593.5403476165171,1.1601294016191288,511.61563,295,0,633.0367349792023,18.795501207369323,33.680225,29,NOT_AVAILABLE,0.017955834,,0.03968371,,,,,,377116694,-0.03038731,0.05170388,-0.15573348,2015.5,0,,,,1635721458409799680,,,,16,Gaia DR1 5598872191147996544
"116.46000000000001,-33.66986111111111",0.0017112578760176708,5594670892796339456,Gaia DR2 5594670892796339456,116.46179902875613,-33.66903245465274,248.69696369811626,-4.507926453066796,128.69075982084647,-53.61169587918887,,,,21.066845,,,5.7960732049000985,12.49742396119934,,,,,,,54.807236,2.3542514411292466,0.4899327380287366,0.93465656,6,1,51,0,52,3,false,,,406.3013,0.016454712,,,,,,false,,,,,0,,,,,6,-0.020426841,,,,,,,0,,70.56804908905762,1.4390667090317937,49.037373,51,1,,,,0,NOT_AVAILABLE,,,0.9513022,,,,,,647504827,,,,2015.5,0,,,,1635721458409799680,,,,4,
