00 43 28.40,+64 45 35.40
01 05 23.03,+60 25 18.90
01 38 55.63,+58 09 22.70
02 41 11.68,+56 43 49.70
02 52 11.66,+56 56 07.10
06 54 13.05,-23 55 42.10
07 18 29.13,-13 13 01.50
07 20 22.38,-23 43 57.60
07 44 58.22,-31 54 29.60
07 45 50.40,-34 19 48.50
07 59 46.25,-28 44 03.10
08 09 31.96,-47 20 11.80
08 44 47.25,-45 58 55.50
08 49 52.88,-45 10 24.10
08 54 59.17,-47 35 32.70
09 13 11.77,-50 06 25.60
09 54 52.91,-57 43 38.30
10 10 31.92,-60 38 42.40
10 16 26.22,-57 28 05.70
10 17 02.28,-57 54 46.90
10 18 05.02,-58 16 25.90
10 18 53.40,-58 07 53.00
10 19 18.50,-59 09 37.00
10 23 23.49,-58 00 20.80
10 23 28.80,-57 46 29.4
10 23 58.00,-57 45 49.00
10 24 18.40,-57 48 30.00
10 25 02.60,-57 21 47.30
10 25 56.49,-57 48 44.40
10 26 31.42,-58 38 26.20
10 41 17.52,-59 40 36.90
10 41 38.33,-58 46 18.80
10 43 52.27,-60 07 04.00
10 44 10.39,-59 43 11.00
10 44 32.08,-57 50 23.70
10 44 38.07,-58 48 28.90
10 48 58.68,-59 03 37.50
10 50 46.30,-60 28 41.60
10 51 06.01,-62 17 01.80
10 51 38.93,-60 56 35.20
10 53 44.83,-59 30 46.70
10 53 59.66,-60 26 44.30
10 56 11.58,-60 27 12.80
10 57 43.00,-60 34 01.00
10 59 00.80,-60 08 50.24
10 59 52.94,-59 52 43.20
11 00 00.72,-57 48 59.50
11 00 06.44,-61 26 29.90
11 00 22.10,-61 13 51.00
11 00 24.50,-59 59 36.00
11 01 02.30,-60 14 01.00
11 02 32.87,-59 26 21.50
11 05 13.92,-61 20 41.40
11 05 46.52,-61 13 49.10
11 05 49.00,-61 13 41.00
11 06 17.21,-65 30 35.20
11 06 18.70,-61 14 13.00
11 06 18.70,-61 14 18.30
11 07 54.05,-61 27 41.00
11 10 04.09,-60 58 45.00
11 12 15.90,-61 05 04.00
11 13 03.80,-62 14 18.00
11 14 01.60,-61 03 47.00
11 14 38.80,-61 11 16.00
11 14 45.50,-61 15 00.1
11 15 07.47,-61 15 38.16
11 15 07.58,-61 15 38.32
11 15 07.60,-61 16 54.8
11 15 07.76,-61 15 37.75
11 15 15.36,-60 51 17.6
11 16 03.53,-61 26 58.30
11 16 57.86,-59 26 24.00
11 18 43.50,-61 26 37.00
11 19 42.96,-61 27 12.40
11 38 05.20,-62 16 01.00
11 42 37.66,-62 41 19.30
11 46 06.66,-62 47 12.70
11 46 18.22,-61 24 41.10
11 48 46.18,-62 23 03.50
11 50 04.24,-62 52 15.40
11 55 52.11,-62 45 02.20
11 56 03.78,-63 18 54.44
11 56 04.77,-62 44 05.30
12 05 18.73,-62 03 10.10
12 06 56.48,-62 38 30.50
12 08 52.49,-62 50 54.9
12 10 07.95,-62 44 19.40
12 11 02.56,-62 57 47.60
12 11 54.1,63 17 04.0
12 12 16.81,-62 46 14.50
12 12 41.13,-62 42 30.71
12 13 02.29,-63 42 25.90
