17 45 50.13,-28 49 27.2
17 45 50.20,-28 49 11.00
17 45 50.20,-28 49 22.3
17 45 50.26,-28 49 11.8
17 45 50.27,-28 49 17.3
17 45 50.29,-28 57 26.2
17 45 50.38,-28 49 21.3
17 45 50.42,-28 49 22.3
17 45 50.45,-28 49 31.9
17 45 50.47,-28 49 19.5
17 45 50.52,-28 49 20.7
17 45 50.56,-28 49 17.6
17 45 50.60,-28 56 17.00
17 45 50.63,-28 59 19.80
17 45 50.67,-28 49 22.6
17 45 50.82,-28 49 26.4
17 45 51.45,-28 49 25.7
17 45 53.18,-28 49 36.0
17 45 55.30,-28 51 26.00
17 45 57.78,-28 54 46.10
17 46 02.48,-28 54 12.8
17 46 11.20,-28 49 05.60
17 46 13.04,-28 49 25.40
17 46 14.05,-28 49 16.6
17 46 14.14,-28 49 36.9
17 46 14.15,-28 49 35.4
17 46 14.33,-28 49 31.4
17 46 14.70,-28 49 41.0
17 46 14.80,-28 49 34.2
17 46 14.90,-28 50 00.80
17 46 15.13,-28 49 37.0
17 46 15.14,-28 49 40.0
17 46 15.16,-28 49 41.9
17 46 15.39,-28 49 34.6
17 46 15.60,-28 50 18.60
17 46 15.85,-28 49 45.6
17 46 15.92,-28 49 37.6
17 46 16.54,-28 49 31.5
17 46 17.57,-28 53 03.7
17 46 17.60,-28 49 29.20
17 46 17.60,-28 49 18.90
17 46 17.70,-28 50 07.00
17 46 18.12,-29 01 36.50
17 46 23.72,-28 48 11.6
17 46 45.34,-28 15 46.10
17 46 56.30,-28 32 32.00
17 46 9.73,28 55 31.9
17 47 11.40,-28 30 06.00
17 47 12.40,-28 31 21.00
17 47 13.00,-28 27 09.00
17 55 20.21,-24 07 38.2
17 57 16.87,-25 23 13.8
17 59 02.27,-24 17 00.1
17 59 02.86,-24 20 51.12
17 59 07.99,-22 36 43.0
17 59 35.61,-30 51 32.3
17 59 48.22,-22 14 52.4
18 00 34.32,-22 47 39.20
18 01 43.14,-32 42 55.20
18 02 04.07,-23 37 41.20
18 02 23.46,-23 34 37.70
18 02 46.23,-22 36 39.7
18 03 28.37,-22 22 58.9
18 04 43.66,-21 09 30.70
18 04 46.10,-21 51 27.00
18 05 11.48,-22 13 22.40
18 05 25.74,-23 00 20.30
18 05 55.27,-19 29 44.1
18 07 05.16,-20 15 16.1
18 07 51.50,-35 10 20.00
18 07 56.96,-19 23 56.80
18 08 28.47,-21 15 11.20
18 08 38.32,-20 24 33.50
18 08 39.24,-20 24 42.50
18 08 39.42,-20 24 42.57
18 08 39.50,-20 24 35.88
18 09 06.22,-19 54 27.2
18 09 20.3,20 18 57
