19 17 32.79,+14 08 27.9
19 17 41.21,+11 29 18.9
19 18 31.35,+13 43 39.4
19 18 31.71,+13 43 17.9
19 20 02.46,+12 08 20.3
19 20 29.32,+14 12 06.1
19 20 40.38,+13 50 35.20
19 20 50.49,+13 18 41.1
19 22 53.61,+14 08 50.0
19 22 54.45,+14 11 27.9
19 24 46.90,+17 14 25.0
19 25 18.12,+17 02 15.9
19 26 08.35,+17 46 23.1
19 27 17.98,+16 05 24.6
19 28 15.57,+19 33 21.10
19 30 05.30,+17 46 01.0
19 30 13.82,+18 32 00.33
19 30 38.84,+18 39 09.8
19 33 44.02,+19 22 47.50
19 39 56.20,+26 34 42.00
19 46 15.94,+28 16 19.10
19 48 18.25,+30 26 52.10
19 48 32.20,+18 12 03.70
19 59 12.68,+31 27 09.70
20 00 19.12,+33 15 51.10
20 01 39.75,+32 34 18.10
20 05 57.33,+35 47 18.20
20 10 14.20,+36 10 35.10
20 11 53.53,+36 11 50.60
20 12 06.55,+38 21 17.80
20 14 31.77,+36 39 39.60
20 17 00.03,+37 25 23.80
20 17 08.12,+41 07 27.00
20 19 32.42,+38 43 54.00
20 20 27.98,+43 51 16.30
20 21 31.73,+36 55 12.80
20 21 44.36,+37 22 30.30
20 24 06.20,+41 25 33.00
20 28 14.54,+43 39 25.6
20 28 22.68,+38 37 18.90
20 32 03.10,+41 15 19.90
20 32 06.28,+40 48 29.70
20 32 26.60,+40 57 09.00
20 35 47.09,+41 22 44.71
20 36 43.65,+40 21 07.32
20 41 21.55,+52 35 15.20
21 07 11.68,+48 25 36.20
21 50 05.57,+50 42 24.80
22 09 33.47,+57 44 30.70
22 16 24.05,+55 37 37.20
22 18 45.61,+56 07 33.90
22 27 17.82,+56 15 11.80
22 36 53.96,+56 54 21.00
23 00 10.13,+60 55 38.40
23 15 12.41,+60 27 01.90
23 43 30.60,+61 55 48.10
23 47 20.40,+63 13 14.00
