#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b_1,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference,input_position,distance,source_id,designation,ra,dec,l,b_2,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids,r_est,r_lo,r_hi,abs_Bp,abs_Bp_hi,abs_Bp_lo,abs_G,abs_G_hi,abs_G_lo,abs_Rp,abs_Rp_hi,abs_Rp_lo,abs_J,abs_J_hi,abs_J_lo,abs_H,abs_H_hi,abs_H_lo,abs_K,abs_K_hi,abs_K_lo
1,1,VII,HD 4004,HIP 3415,,00 43 28.40,+64 45 35.40,122.08,1.9,WN4b,SSM96,SB1?,"La83, MS86, MMH98, MG99, Ni00",11.2,11.02,10.51,10.15,10.36,10.74,10.1,,,8.206,7.857,7.48,,Cas OB7:,,,"16.345958333333336,60.42191666666667",1.788941003246005e-05,426378793807948032,Gaia DR2 426378793807948032,16.34592317647823,60.42191232174185,124.65357201226057,-2.403210871542929,44.98419621791145,47.95853116222423,,,,10.997475,11.200502,10.6352625,0.25610553375074124,0.12167367266210818,,,,,,,221.97003,0.26651086876699903,7.579054229134369,9.99457,6,12,51,63,63,3,false,1.5177929027465922,0.08589884828021124,0.42125005,12.707582,0.20302773,0.5652399,,,,true,,,,,0,0.36221218,,,,13,-0.26599985,,,,457461.1981336027,1071.2454163160796,427.03677,7,1.202844,752240.0468087363,771.7239100575897,974.7528,78,0,447366.2037302616,830.978585140128,538.3607,8,NOT_AVAILABLE,,130001,-0.22465771,,,,,,1337111238,,,,2015.5,0,,,,1635721458409799680,6534.55,7137.6665,6844.6665,5,Gaia DR1 426378789506057856,,,,,,,,,,,,,,,,,,,,,
2,2,VII,HD 6327,HIP 5100,,01 05 23.03,+60 25 18.90,124.65,-2.41,WN2b,SSM96,VB,"Hip97, MMH98",11.62,11.46,11.33,11.17,11.04,10.35,10.99,,,10.036,9.783,9.445,,Cas OB1:,,,"40.29866666666667,56.730472222222225",2.3632219230483925e-05,454818035714964992,Gaia DR2 454818035714964992,40.29864525744197,56.73049272942637,137.5948153470531,-2.983863573387971,57.55390028197198,38.753646025857584,0.22864277325775081,-0.19511023565250263,2.456925495551668,9.6846895,9.8969755,9.382316,0.02708711661074979,0.030617984192208715,0.04116885464943083,0.07504662270577193,0.08205565004814593,0.762,1.2277,1.045,794.8922,0.055744974994610626,1.1692815512014767,16.291945,28,7,241,248,248,31,false,1.683395659167134,0.007308351546504492,0.057204057,127.83779,0.212286,0.5146599,-0.05034031,0.027142908,-0.062694535,false,0.411,0.6163,0.529,200111,0,0.3023739,1379.1052,2353.2722,1866.1887,30,0.034756873,5.55378,0.04828063,0.20557807,1519725.1801366792,3306.3833862944234,459.6337,29,1.1657912,2520404.8020697115,1066.5932937325674,2363.042,259,0,1418540.5471109035,1598.8197502722649,887.2423,27,NOT_AVAILABLE,0.29646888,100001,0.27596363,,,30.476433,32.5256,31.272223,1197877258,0.13625076,-0.04766443,-0.14256446,2015.5,0,,,,1635721458409799680,6652.005,6872.0,6784.0,14,Gaia DR1 454818035714964992,3711.26141558939,3218.1908146919,4363.21470422589,-2.950632232333211,-3.3020574209578477,-2.641083454736325,-3.1629182323332117,-3.5143434209578484,-2.8533694547363257,-3.4652917323332115,-3.816716920957848,-3.1557429547363256,-2.8116077323332114,-3.163032920957848,-2.5020589547363254,-3.0646077323332115,-3.416032920957848,-2.7550589547363256,-3.4026077323332107,-3.7540329209578474,-3.0930589547363248
3,3,VII,HD 9974,HIP 7681,,01 38 55.63,+58 09 22.70,129.18,-4.14,WN3ha,MMC04,SB2,"MLS86,MS86,SH89,SM89,SS96",10.54,10.64,10.7,10.73,9.85,10.62,10.61,,,10.237,10.134,10.009,,,,,"43.04858333333333,56.93530555555556",5.364632311511655e-06,460606178458202496,Gaia DR2 460606178458202496,43.04858839811819,56.935310153772356,138.86679733277668,-2.1530061417721935,59.43306025616312,38.3714916996976,0.30496230379822487,-0.23592602468867202,-0.8440754202821692,10.061514,10.4617,9.519958,0.023803354818258092,0.024290492973063318,0.033458186282977524,0.0726755687166104,0.06512500205964168,1.5509,2.0888,1.872,577.7819,0.0,0.0,10.721861,31,9,258,267,267,31,true,1.6077167481488621,0.005730251325954359,0.04958152,286.9293,0.40018654,0.9417429,0.004500727,-0.26107705,0.00988571,false,0.7969,1.0773,0.95,200111,0,0.54155636,646.53186,910.5664,778.54913,35,-0.10761713,9.114729,-0.057984117,0.26396567,903389.6390770443,1719.507254697883,525.377,32,1.2086743,1781315.426556672,984.6159966677004,1809.1473,289,0,1249640.5772514502,1150.9279201649886,1085.768,30,NOT_AVAILABLE,-0.0068071517,100001,0.12094847,,,27.889925,32.34175,31.42757,1480097002,0.0018481398,-0.0028120633,-0.18247205,2015.5,0,,,,1635721458409799680,5361.25,5773.3003,5438.6665,13,Gaia DR1 460606174157449344,2963.60603423253,2690.46531657136,3295.51365235371,-1.8974023519164582,-2.127915575677651,-1.6874369891254215,-2.297588351916458,-2.528101575677651,-2.087622989125421,-2.839144351916458,-3.0696575756776507,-2.629178989125421,-2.1221023519164586,-2.3526155756776514,-1.9121369891254218,-2.2251023519164583,-2.455615575677651,-2.0151369891254216,-2.3501023519164583,-2.580615575677651,-2.1401369891254216
4,4,VII,,HIP 12527,HD 16523,02 41 11.68,+56 43 49.70,137.59,-2.98,WC5+?,VI,"SB1, no d.e.l.","MS86,CM89,RC89,SS90,VII",10.73,10.73,10.53,10.53,10.03,10.3,9.8,,,8.749,8.566,7.877,,,,,"24.731791666666666,58.156305555555555",2.75386936258111e-05,508955656105078912,Gaia DR2 508955656105078912,24.731746661115235,58.15629160744832,129.17967789231076,-4.138224451771666,48.43580161851989,43.75605574288693,0.3131219486943979,-4.060060875561694,-1.421717997874293,10.575814,10.6188965,10.439993,0.02322691460039902,0.028991781568510275,0.04119496604931199,0.06287044312654341,0.07194280244066575,0.3183,0.885,0.64,1131.0448,0.09799423319529653,4.311262352690373,19.475248,43,17,339,356,356,31,false,1.755365764584932,0.006424057765312117,0.046247806,70.846504,0.043082237,0.17890358,-0.1785895,-0.2876477,-0.19725871,false,0.1649,0.445,0.355,,0,0.13582134,,,,46,-0.01597921,7.600976,-0.08149556,0.25481603,781622.1413910567,973.9812037691504,802.50226,42,1.1874361,1109226.949658608,489.13417866267696,2267.7356,374,0,535514.0510637825,679.3150257741438,788.31476,44,NOT_AVAILABLE,-0.009523991,100001,-0.06780655,,,,,,260442415,0.24322283,-0.15760013,-0.094808996,2015.5,0,,,,1635721458409799680,8091.25,9593.667,9124.0,16,Gaia DR1 508955651800615168,2878.82275958102,2569.07231500716,3268.27386481308,-1.6771781375105395,-1.9526957053266276,-1.4299851454394599,-1.72026063751054,-1.9957782053266282,-1.4730676454394604,-1.85608163751054,-2.131599205326628,-1.6088886454394604,-3.547074637510539,-3.822592205326627,-3.2998816454394593,-3.7300746375105387,-4.005592205326627,-3.482881645439459,-4.41907463751054,-4.694592205326628,-4.17188164543946
5,5,VII,,HIP 13380,HD 17638,02 52 11.66,+56 56 07.10,138.87,-2.15,WC6,VI,,,11.68,11.49,11.02,10.76,10.97,10.85,10.37,,,8.626,8.336,7.653,,,,,"10.868333333333332,64.75983333333333",1.8829610078044028e-05,524101256981955200,Gaia DR2 524101256981955200,10.868292596886297,64.75982606577607,122.08252279184794,1.901212596544374,45.99493498059833,52.93067636509763,0.2853459860842952,-2.847460461564185,-0.6388297686988166,9.793856,10.230665,9.184456,0.02269379824755406,0.025199021837735924,0.032344990304680694,0.04649727831572893,0.04208794846005899,,,,473.12366,0.0,0.0,6.505696,36,5,293,298,298,31,true,1.5772253529062634,0.005798642050073015,0.035336938,275.8731,0.43680954,1.0462093,0.20636334,-0.3990253,0.05333985,false,,,,200111,0,0.6093998,988.17377,1413.6672,1200.9205,41,-0.039514534,8.821953,0.25974888,-0.021386204,1117607.3289523588,1916.0686669225151,583.28143,35,1.2370877,2279312.300991964,1259.9082843818162,1809.1097,294,0,1702102.0286108654,2146.1811647560353,793.08405,34,NOT_AVAILABLE,-0.24877855,100001,-0.09972549,,,37.95825,49.387478,44.736954,1562213769,0.005701552,0.06585228,-0.4026661,2015.5,0,,,,1635721458409799680,4835.0,5515.08,5080.0933,16,Gaia DR1 524101252676120448,3167.23196049589,2865.25123591433,3537.31984118526,-2.2727343561307105,-2.5127066504758098,-2.0551485426645275,-2.7095433561307107,-2.94951565047581,-2.4919575426645277,-3.31894335613071,-3.558915650475809,-3.101357542664527,-3.877399356130711,-4.11737165047581,-3.659813542664528,-4.16739935613071,-4.40737165047581,-3.9498135426645273,-4.850399356130711,-5.09037165047581,-4.632813542664528
6,6,VII,EZ CMa,HD 50896,HIP 33165,06 54 13.05,-23 55 42.10,234.76,-10.08,WN4b,SSM96,SB1?,"FK80,DH96,MM98,MMH98,GK99,NG99a",,6.87,6.94,6.98,5.64,6.6,6.87,,,6.353,6.226,5.893,Cr 121?,,0.9,LS84,"258.98291666666665,37.32",0.0006506687905365529,1340063163954637824,Gaia DR2 1340063163954637824,258.9834365229161,37.31949755488882,61.30658101100906,34.25826472723703,252.26011487822512,60.082146257067826,0.20698948670940165,4.04871503622142,-10.514879159349881,16.938978,17.318926,16.401077,0.04666058873326913,0.05523823241676268,0.058830012715391344,0.09974798202890507,0.12267980571587801,1.001,1.6671,1.284,287.9084,0.14301897332268299,0.6726273672978198,1.3414448,30,3,262,0,265,31,false,1.5905957907134598,0.013931893981684757,0.12559213,2.9880538,0.37994766,0.9178486,-0.00504393,-0.18058115,-0.09907845,false,0.4979,0.8116,0.664,,0,0.5379009,,,,34,0.18729688,3.5184336,-0.06648167,-0.23860458,1632.99406438555,8.768418895254493,186.23587,31,1.2158586,3160.494586878927,2.377552973323484,1329.3057,280,0,2209.720497369909,9.469659621497517,233.34741,33,NOT_AVAILABLE,0.35791296,100001,0.16518785,,,,,,438620189,-0.14303586,-0.062101666,0.021480821,2015.5,0,,,,1635721458409799680,5374.25,5465.0,5431.5,18,Gaia DR1 1340063159658304000,3592.85690241553,3001.05807257732,4408.0950733088,4.541726398431095,4.097671236198648,4.9325540029559445,4.1617783984310925,3.717723236198646,4.552606002955942,3.6238773984310946,3.179822236198648,4.014705002955944,-6.4241996015689065,-6.868254763801353,-6.033371997044057,-6.551199601568906,-6.995254763801353,-6.160371997044057,-6.884199601568906,-7.328254763801353,-6.493371997044057
7,7,VII,HD 56925,HIP 35378,,07 18 29.13,-13 13 01.50,227.75,-0.13,WN4b,SSM96,,MMH98,12.21,12.11,11.75,11.51,11.21,11.68,11.4,,,9.97,9.674,9.271,,,,,"246.58416666666668,45.99611111111111",0.0028925319815886314,1409735466299315328,Gaia DR2 1409735466299315328,246.58777484495184,45.99755462217743,71.88465416531776,43.92917739697212,227.26508617200366,65.99855160619029,0.6833041336427308,-7.435714591525078,-3.8454563292240644,20.214167,21.022549,19.140125,0.426889616502698,0.539257770614547,0.52443415653708,0.8667914455123077,1.168433373373043,,,,285.67276,1.9615954783666656,2.252652892643943,2.7124956,26,1,229,0,230,31,false,1.6036805785149528,0.1429742140944527,1.0983037,0.041566778,0.80838203,1.8824234,0.1838864,-0.10361118,-0.12951452,false,,,,,0,1.0740414,,,,27,0.096475765,1.302936,-0.08220022,-0.22298607,53.893412911190005,7.694237594975667,7.0043864,20,1.4938346,154.76758654754275,0.9428422517278443,164.15004,236,0,177.3037628221857,9.390077202383841,18.882034,23,NOT_AVAILABLE,0.3810481,,0.19031842,,,,,,349208586,0.027044833,-0.11199143,-0.15956964,2015.5,0,,,,1635721458409799680,,,,16,,1248.34671965687,787.625655893184,2135.04330445427,10.540872878072658,9.375515559413047,11.54094972859542,9.732490878072657,8.567133559413046,10.732567728595418,8.658448878072658,7.493091559413047,9.65852572859542,-0.5116761219273425,-1.6770334405869534,0.48840072859541905,-0.8076761219273436,-1.9730334405869545,0.1924007285954179,-1.2106761219273423,-2.376033440586953,-0.2105992714045808
8,7a,VII,PMLC 1,GSC 6537-0281,,07 20 22.38,-23 43 57.60,237.27,-4.64,WN4/C,PM98,,,,,,,,,13.9,,,nan,nan,nan,,,,,"182.9754166666667,63.284444444444446",0.01371733424941089,1584276378794074368,Gaia DR2 1584276378794074368,182.95849169766302,63.29585908908512,130.35341944959865,53.25800675262383,143.33646376417627,55.980632101017,2.2963231332383933,0.9708387967818306,-6.985927723583789,16.00702,16.8887,15.07673,0.03796023827966925,0.033471750562460656,0.04256020427157889,0.06943957833623819,0.06662493160837356,0.407,0.983,0.591,272.1334,0.0,0.0,0.8596353,29,0,258,0,258,31,false,1.4149005720173942,0.008804770471176719,0.080913536,8.481635,0.88167953,1.8119707,-0.20620538,-0.3269866,-0.26865733,false,0.2009,0.4621,0.29,200111,0,0.9302912,0.09548157,0.10381242,0.09964699,30,0.03550158,53.9547,-0.08441859,0.14120653,2427.028355510798,16.693775617381725,145.38522,28,1.329037,7456.554153196869,4.966144587051456,1501.4774,266,0,7483.007684660705,25.189085480954112,297.07343,27,NOT_AVAILABLE,0.3075084,100001,0.36905715,,,0.65299034,0.7109888,0.6919738,230841193,-0.41535687,-0.19032678,-0.39324814,2015.5,0,,,,1635721458409799680,3846.0151,4013.1833,3898.5,19,Gaia DR1 1584276374498187008,430.175144160262,422.381783333745,438.256072570069,8.720473435408747,8.68006028757528,8.760174102563385,7.838793435408748,7.798380287575281,7.878494102563385,6.908503435408747,6.86809028757528,6.948204102563384,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,8,VII,HD 62910,HIP 37791,,07 44 58.22,-31 54 29.60,247.07,-3.79,WN7o/CE,SSM96,SB1,"Ni91,MMH98",10.99,10.95,10.48,10.27,10.08,10.69,10.16,,,8.57,8.322,7.928,,Anon.Pup a:,,,"297.1341666666667,18.201027777777778",2.831381470196652e-05,1821509378448652416,Gaia DR2 1821509378448652416,297.1341520262627,18.201003115202926,55.6152617357677,-3.786460185406579,303.628270504495,38.52552945943636,0.31287149166653305,-0.3412218056882001,-5.34042464853977,10.350278,10.403076,10.194669,0.0295863533317337,0.030264554718490315,0.041667277356722106,0.061517582224633896,0.06157988792757245,0.6094,1.0721,0.92,732.8461,0.08777492914025814,3.1193129037045537,14.316312,32,18,260,278,278,31,false,1.755828959541696,0.008014500981103907,0.04504292,82.65382,0.05279827,0.2084074,0.06450107,-0.24809417,0.01260412,true,0.342,0.5411,0.479,,0,0.15560913,,,,33,0.0046004583,7.5088058,-0.007584532,-0.23316713,953509.005095871,1764.3320841640204,540.4362,32,1.1900376,1365321.754038655,770.8554581500831,1771.1774,281,0,671275.222664413,1251.1665240365155,536.5195,32,NOT_AVAILABLE,0.3021189,100001,0.29730108,,,,,,989110180,0.16120562,0.023987986,-0.3549312,2015.5,0,,,,1635721458409799680,9037.5,9481.5,9233.0,15,Gaia DR1 1821509374129226240,2925.38344973182,2594.55569967382,3348.44442902255,-1.927838000275658,-2.221139478778303,-1.667238992617298,-1.9806360002756591,-2.273937478778304,-1.720036992617299,-2.1362450002756592,-2.4295464787783043,-1.875645992617299,-3.7609140002756583,-4.054215478778303,-3.500314992617298,-4.008914000275659,-4.3022154787783045,-3.748314992617299,-4.402914000275659,-4.696215478778304,-4.142314992617298
10,9,VII,IC 2206,HIP 37876,HD 63099,07 45 50.40,-34 19 48.50,249.27,-4.84,WC5+O7,HH88,SB2,"NM84,SM89,Ni95,LM96",12.05,11.67,10.93,10.6,11.47,11.42,10.49,,,8.452,8.11,7.545,HD 63077 group?,Anon.Pup b?,5.5,LS84,"293.4334166666667,19.37986111111111",6.653255904375863e-05,1825418588978011648,Gaia DR2 1825418588978011648,293.4333544914338,19.37982970277921,54.910426445425536,-0.15775832252587174,299.5353948785726,40.446481585656656,0.09186106829895015,-3.1720490334660267,-6.335374242051268,13.326,14.801413,12.114214,0.022243308535767867,0.024271566650343534,0.036344364797368245,0.045878001779611356,0.04823820453828522,,,,959.7811,0.24951340862415144,19.173743911830535,14.513837,46,3,401,0,404,31,false,1.3051217273202766,0.005584269012636386,0.055285763,13.919853,1.4754124,2.6871986,-0.07047249,-0.1539178,0.044384748,false,,,,,0,1.2117863,,,,48,-0.0393429,2.527519,-0.21483073,-0.24960217,16595.5022321739,46.31746605097459,358.299,47,1.4889605,88094.01205062571,20.440728419089822,4309.7295,418,0,114573.00663530712,112.99547250626351,1013.96106,46,NOT_AVAILABLE,0.2695892,100001,0.28612578,,,,,,1647289579,-0.08390496,0.054575596,-0.40184277,2015.5,0,,,,1635721458409799680,3229.0,4064.095,3777.225,15,Gaia DR1 1825418584644352512,6773.42851949345,5532.25414018554,8535.67373823351,0.6473702398890815,0.14522396721081599,1.086902387621075,-0.8280427601109182,-1.3301890327891837,-0.3885106123789246,-2.039828760110918,-2.5419750327891837,-1.6002966123789246,-5.702042760110919,-6.204189032789184,-5.262510612378925,-6.044042760110919,-6.546189032789185,-5.604510612378926,-6.609042760110919,-7.111189032789184,-6.169510612378925
